scenario,rho,method,param,N,bias,ESD,mean_SE,median_SE,coverage,coverage_MCSE
informative_H,0.01,DR_CF,alpha1,398,0.46444358236653516,1.0030593763030355,1.2826063079630727,0.5174843913895,0.8994974874371859,0.015071167648856486
informative_H,0.01,DR_CF,alpha2,398,-0.26919151182259704,0.823495701906715,1.1532469573286361,0.459343304694224,0.9296482412060302,0.01281903311962421
informative_H,0.01,DR_CF,alpha3,398,0.21354994547911738,0.8073516657612521,1.1504185861932914,0.4506875155297094,0.8844221105527639,0.01602601848989915
informative_H,0.01,DR_CF,beta0,398,0.7976343438610684,1.9369234308170507,8.055426849472095,0.9703879730316953,0.9045226130653267,0.014730532295389995
informative_H,0.01,DR_CF,beta1,398,-0.05982101251542226,1.2732231785209596,4.870963240890505,0.6105072259015236,0.9321608040201005,0.01260504001742777
informative_H,0.01,DR_CF,beta2,398,0.6124796487962887,1.829442500178272,8.308864443723644,0.8306142178337392,0.8994974874371859,0.015071167648856486
informative_H,0.01,DR_CF,beta3,398,-0.526488655112926,1.7168579065993754,7.68102535219169,0.6671490750400705,0.8869346733668342,0.01587336495330962
informative_H,0.01,PR_MLE,alpha0,500,0.38030467720024097,0.39583945270576476,0.3907771799106781,0.37768143683134137,0.882,0.014427473791346842
informative_H,0.01,PR_MLE,alpha1,500,0.0011433802018484265,0.16479193346253757,0.1602780998317292,0.16017200031628098,0.946,0.010107818755794947
informative_H,0.01,PR_MLE,alpha2,500,-0.17475595300975968,0.17982989653340717,0.185179187881497,0.18127721895321575,0.894,0.013766916866168691
informative_H,0.01,PR_MLE,alpha3,500,0.08640604669791606,0.15483693992357148,0.15477530695747105,0.15188865826941578,0.94,0.010620734437881408
informative_H,0.01,PR_MLE,beta0,500,-0.38022721335177245,0.4460190430260549,0.4274069993113071,0.410159355566528,0.762,0.01904499934365974
informative_H,0.01,PR_MLE,beta1,500,0.09719445810446173,0.18362674486687766,0.17574994469433222,0.17354691802201277,0.864,0.01532997064576446
informative_H,0.01,PR_MLE,beta2,500,-0.10230748960933267,0.20373110379920317,0.19489328177443355,0.18721999136713666,0.888,0.014103616557464968
informative_H,0.01,PR_MLE,beta3,500,0.08068216149235433,0.15349879358146468,0.15090184168235604,0.14725180277427719,0.886,0.014212951839783317
informative_H,0.02,DR_CF,alpha0,436,-0.04631570928786303,0.5464611047396211,0.6966009343895826,0.4013091418582172,0.8899082568807339,0.014990176539913387
informative_H,0.02,DR_CF,alpha1,436,0.3079150167560587,0.9497441177729237,1.2133766739655973,0.43094527970483876,0.9128440366972477,0.013508390304989352
informative_H,0.02,DR_CF,alpha2,436,-0.15272101062767338,0.6233839623130984,0.6030889442192254,0.3728149654217895,0.8922018348623854,0.014852309672002845
informative_H,0.02,DR_CF,alpha3,436,0.15245637313086677,0.7526128810871955,0.8830648371785312,0.3554960553886224,0.8967889908256881,0.01457017948353461
informative_H,0.02,DR_CF,beta0,436,0.716881848881036,1.874935665178116,8.737818379440661,0.8724939458714227,0.9380733944954128,0.011542869938241593
informative_H,0.02,DR_CF,beta1,436,-0.049121864274813784,1.118810831968542,5.049894441232894,0.600132691696553,0.9610091743119266,0.009270469689148514
informative_H,0.02,DR_CF,beta2,436,0.5490601846148172,1.6889756452342122,8.269689040890825,0.6805272139478628,0.8853211009174312,0.015259802774148644
informative_H,0.02,DR_CF,beta3,436,-0.4220194916247776,1.8797022446999574,9.20943464811978,0.6057382818521193,0.9105504587155964,0.01366777506913242
informative_H,0.02,PR_MLE,alpha0,500,0.8164782065582129,0.38825735482959056,0.36234434622857153,0.3545499371197891,0.4,0.021908902300206645
informative_H,0.02,PR_MLE,alpha1,500,-0.014928384274722421,0.1767867483453737,0.174106771627966,0.1720892419399542,0.942,0.010453324829928518
informative_H,0.02,PR_MLE,alpha2,500,-0.34599501361187174,0.17628237169270183,0.17380421786485997,0.1688641669771424,0.514,0.022351912669836556
informative_H,0.02,PR_MLE,alpha3,500,0.1722656528734321,0.16962431683866766,0.16048520469145056,0.15556170677303344,0.83,0.016798809481626965
informative_H,0.02,PR_MLE,beta0,500,-0.787060766674784,0.302496410888564,0.28728835258738,0.28498758124928647,0.266,0.019760769215797242
informative_H,0.02,PR_MLE,beta1,500,0.20045979793223817,0.14414595264235283,0.14256520351392926,0.14285735998535595,0.678,0.020895741192884256
