experiment,scenario,n,rho,q_target,method,n_attempt,n_success,failure_rate,param_rmse_mean,param_rmse_mcse,coverage_mean_mean,coverage_mean_mcse,pred_rmse_mean,rho_realized_mean,q_realized_mean,n_rev_mean,n_rev1_mean,n_rev0_mean,ess_mean,ess1_mean,ess0_mean,min_eig_or_sing_mean
A,informative_H,200,0.02,,DR_CF,500,171,0.6579999999999999,4.933689207590891,0.1133805427850731,0.2807017543859649,0.0151617421205645,0.0803538764297895,0.0183892968282552,0.971092796092796,3.017543859649123,2.935672514619883,0.0818713450292397,1.851212213783938,1.775255130044697,0.0822986700517455,
A,informative_H,200,0.02,,PR_MLE,500,398,0.2039999999999999,1.3542563880707637,0.0642739821155641,0.8589824120603015,0.0096334583271173,0.0838547410033452,0.0202191051948924,0.7441522649094451,3.319095477386935,2.409547738693467,0.9095477386934674,,,,
A,informative_H,200,0.02,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.0200882835006247,0.7644398530762166,3.302605210420842,2.468937875751503,0.8336673346693386,,,,
A,informative_H,200,0.05,,DR_CF,500,162,0.6759999999999999,4.821623190570093,0.1330253501996201,0.3533950617283951,0.0207564213750171,0.0813197263925968,0.0458859138787751,0.9660219762888608,7.54320987654321,7.234567901234568,0.3086419753086419,2.87601306437397,2.761010415548709,0.2469397545637326,
A,informative_H,200,0.05,,PR_MLE,500,413,0.174,1.1809286461321775,0.0523323375614986,0.8556295399515739,0.0084419013994727,0.07878160463146,0.0515810742376376,0.8113245280333302,8.48910411622276,6.861985472154964,1.6271186440677967,,,,
A,informative_H,200,0.05,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.0507909487723036,0.834686130829889,8.352705410821644,6.929859719438878,1.4228456913827656,,,,
A,informative_H,200,0.1,,DR_CF,500,129,0.742,1.961793083312188,0.1798004820540681,0.6734496124031008,0.0285706403070237,0.0940980483958988,0.1000645910115286,0.8299942653825693,16.488372093023255,13.51937984496124,2.9689922480620154,4.83639342131303,5.378367393707049,1.710261698245105,
A,informative_H,200,0.1,,PR_MLE,500,465,0.0699999999999999,1.005340271268256,0.0429768572135946,0.8096774193548387,0.0085777652777565,0.0727226358941724,0.1012501636417454,0.7991325369541405,16.64731182795699,13.227956989247312,3.419354838709677,,,,
A,informative_H,200,0.1,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.1004110149700925,0.8095927958689286,16.509018036072145,13.274549098196394,3.2344689378757514,,,,
A,informative_H,200,0.2,,DR_CF,500,295,0.41,0.9706903520592266,0.0694005317100104,0.9372881355932204,0.0072746759252582,0.0867822328319755,0.2061203065409493,0.6707228743505994,33.94915254237288,22.69830508474576,11.25084745762712,7.086885637407533,13.720075523029086,4.054283932070351,
A,informative_H,200,0.2,,PR_MLE,500,500,0.0,0.6790368166760534,0.010130119107826,0.7705,0.0075596823739619,0.0660761361300228,0.2026605516711071,0.6912624422799397,33.33,22.946,10.384,,,,
A,informative_H,200,0.2,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.2027054975499279,0.6913548293580106,33.33466933867736,22.95190380761523,10.382765531062123,,,,
A,informative_H,500,0.01,,DR_CF,500,87,0.8260000000000001,4.5387374239023215,0.1902801713049006,0.3706896551724138,0.0269154194646337,0.0675646494845047,0.0079379888000695,0.6511614401858304,3.264367816091954,2.1724137931034484,1.091954022988506,2.53946572696098,1.465774232675182,1.0983573591674882,
A,informative_H,500,0.01,,PR_MLE,500,481,0.038,0.9254851256518656,0.0487899732115544,0.8516112266112266,0.00940548607515,0.0512164620718416,0.0098514056217209,0.5754980780190864,4.058212058212058,2.343035343035343,1.7151767151767152,,,,
A,informative_H,500,0.01,,STD_ZIB,500,492,0.016,1.5028679482329743,0.058673801991526,0.6684451219512195,0.0136426721695387,0.055157603769353,0.0098245884351771,0.5822947871202491,4.046747967479675,2.361788617886179,1.684959349593496,,,,
A,informative_H,500,0.02,,DR_CF,500,100,0.8,4.567855740812427,0.1953841322183836,0.3825,0.0327515517405533,0.0776546893117374,0.0179707929184549,0.937643805025384,7.43,6.77,0.66,3.1420996155671395,2.8345556086580848,0.4967786175547324,
A,informative_H,500,0.02,,PR_MLE,500,488,0.024,0.8374105783223534,0.0408200103815484,0.8445184426229508,0.008588720710758,0.0500780365078197,0.0201888102607097,0.7685530041332457,8.311475409836065,6.354508196721311,1.9569672131147544,,,,
A,informative_H,500,0.02,,STD_ZIB,500,492,0.016,1.5028679482329743,0.058673801991526,0.6684451219512195,0.0136426721695387,0.055157603769353,0.020226466334655,0.7719246435469157,8.327235772357724,6.394308943089431,1.9329268292682928,,,,
A,informative_H,500,0.05,,DR_CF,500,126,0.748,2.123983916038863,0.1763464158191658,0.7212301587301587,0.0285274407860742,0.0919867318758069,0.0492144404346744,0.8654878769232449,20.20634920634921,17.42063492063492,2.7857142857142856,4.709349985796718,5.36460176398228,1.702705984854247,
A,informative_H,500,0.05,,PR_MLE,500,485,0.03,0.7950953091495715,0.0228045592550376,0.7280927835051546,0.0091219855028447,0.0480215783452372,0.0506112418875397,0.8377401366482747,20.83298969072165,17.424742268041236,3.4082474226804123,,,,
A,informative_H,500,0.05,,STD_ZIB,500,492,0.016,1.5028679482329743,0.058673801991526,0.6684451219512195,0.0136426721695387,0.055157603769353,0.0503369588867149,0.8419059764241527,20.71951219512195,17.40650406504065,3.313008130081301,,,,
A,informative_H,500,0.1,,DR_CF,500,286,0.428,1.0089200573448895,0.085431673413374,0.8994755244755245,0.010351994971287,0.0740289991343461,0.0999854268769785,0.8050019866199416,41.16783216783217,33.08741258741259,8.08041958041958,6.813620157683745,12.910127743745354,3.5354547489363624,
A,informative_H,500,0.1,,PR_MLE,500,499,0.002,0.7112856842148038,0.0108722549365192,0.6357715430861723,0.0081380432840219,0.044490784134612,0.0994424515437681,0.8090172992123352,40.93386773547094,33.056112224448896,7.877755511022044,,,,
A,informative_H,500,0.1,,STD_ZIB,500,492,0.016,1.5028679482329743,0.058673801991526,0.6684451219512195,0.0136426721695387,0.055157603769353,0.0993344974948056,0.8087143108212002,40.88821138211382,33.00406504065041,7.884146341463414,,,,
